Latitude	Longitude	Snow Depth
71.37004	-156.36294	38.625
71.37001	-156.36297	19.422
71.37001	-156.36297	49.637
71.36999	-156.36302	37.047
71.36999	-156.36304	37.442
71.36997	-156.36311	6.9243
71.36996	-156.36316	28.068
71.36994	-156.36319	33.71
71.36994	-156.36322	34.044
71.36994	-156.36324	27.037
71.36992	-156.36329	11.02
71.36994	-156.36336	28.402
71.36994	-156.36341	17.481
71.36992	-156.36344	20.848
71.36989	-156.36344	19.969
71.36989	-156.36347	20.424
71.36987	-156.36347	6.1052
71.36986	-156.36352	21.728
71.36982	-156.36356	20.12
71.36982	-156.36359	33.528
71.36981	-156.36362	23.426
71.36979	-156.36366	42.719
71.36979	-156.36369	35.894
71.36977	-156.36367	33.801
71.36976	-156.36372	17.238
71.36976	-156.36376	31.404
71.36974	-156.36381	6.9544
71.36974	-156.36381	10.413
71.36972	-156.36386	29.402
71.36929	-156.36516	-1.054
71.36971	-156.36381	9.9574
71.36971	-156.36391	37.531
71.36969	-156.36396	33.739
71.36967	-156.36396	28.128
71.36966	-156.36394	4.4972
71.36966	-156.36399	4.2849
71.36964	-156.36404	31.313
71.36964	-156.36411	6.7419
71.36962	-156.36416	48.785
71.36961	-156.36424	16.601
71.36961	-156.36426	13.021
71.36959	-156.36426	12.657
71.36957	-156.36429	24.912
71.36956	-156.36431	36.106
71.36956	-156.36436	12.9
71.36954	-156.36439	23.608
71.36952	-156.36441	24.488
71.36952	-156.36441	31.647
71.36951	-156.36447	19.786
71.36951	-156.36451	31.647
71.36949	-156.36454	26.672
71.36949	-156.36459	25.944
71.36947	-156.36461	17.481
71.36946	-156.36462	21.94
71.36946	-156.36466	21.394
71.36946	-156.36469	30.252
71.36944	-156.36472	9.6846
71.36942	-156.36476	19.725
71.36942	-156.36486	15.297
71.36942	-156.36489	14.66
71.36941	-156.36492	28.735
71.36939	-156.36499	30.798
71.36939	-156.36501	6.4084
71.36939	-156.36501	33.163
71.36937	-156.36502	11.413
71.36936	-156.36507	23.305
71.36936	-156.36516	22.122
71.36927	-156.36504	21.849
71.36932	-156.36512	16.055
71.36934	-156.36516	19.634
71.36932	-156.36522	22.364
71.36931	-156.36526	5.2556
71.36929	-156.36529	7.288
71.36929	-156.36532	23.911
71.36927	-156.36532	8.9564
71.36927	-156.36534	6.2263
71.36926	-156.36541	5.7106
71.36924	-156.36546	21.697
71.36924	-156.36552	39.11
71.36922	-156.36554	27.461
71.36922	-156.36561	19.088
71.36921	-156.36566	17.966
71.36921	-156.36566	43.842
71.36919	-156.36569	21.728
71.36919	-156.36579	29.069
71.36917	-156.36574	26.703
71.36916	-156.36579	22.365
71.36916	-156.36584	16.753
71.36914	-156.36581	22.183
71.36912	-156.36591	22.638
71.36912	-156.36591	30.737
71.36911	-156.36596	29.645
71.36911	-156.36599	31.283
71.36911	-156.36597	24.549
71.36909	-156.36601	20.545
71.36907	-156.36607	52.701
71.36907	-156.36612	41.021
71.36906	-156.36614	31.223
71.36904	-156.36616	15.995
71.36902	-156.36617	22.638
71.36902	-156.36629	20.727
71.36901	-156.36631	18.27
71.36902	-156.36639	22.911
71.36901	-156.36642	14.933
71.36901	-156.36647	13.173
71.36899	-156.36646	21.88
71.36897	-156.36649	26.066
71.36897	-156.36649	18.239
71.36896	-156.36655	25.55
71.36894	-156.3666	17.936
71.36894	-156.36663	20.363
71.36893	-156.3667	32.103
71.36891	-156.3668	17.542
71.36891	-156.36673	25.035
71.36889	-156.36678	23.427
71.36888	-156.36681	26.157
71.36886	-156.36681	20.211
71.36886	-156.3668	10.716
71.36884	-156.36683	17.481
71.36884	-156.3669	5.6197
71.36883	-156.36698	22.729
71.36883	-156.36701	10.777
71.36881	-156.36703	26.369
71.36879	-156.36708	26.126
71.36879	-156.36711	18.239
71.36878	-156.36715	22.638
71.36878	-156.36713	24.549
71.36876	-156.36715	31.253
71.36874	-156.3672	37.835
71.36874	-156.3673	36.501
71.36873	-156.36723	35.318
71.36873	-156.3673	35.045
71.36873	-156.36736	45.935
71.36871	-156.36736	41.051
71.36871	-156.36738	17.784
71.36871	-156.36738	21.606
